Setting,Scenario,Protocol,BottleneckMbps,BaseOwdMs,Flows,SinkPort,Goodput_Mbps,Util,Delay_ms,Jitter_ms,Loss_pct,Jain,Source
tcp_only,wan_longhaul,TcpNewReno,1000.0,26.0,3,49153/50000,823.04,0.823,27.3509,0.0126,0.0012,0.9463,logs/comparison/wan_longhaul_TcpNewReno.flowmonitor
tcp_only,wan_longhaul,TcpSwift,1000.0,26.0,3,49153/50000,136.16,0.1362,26.0227,0.012,0.0,1.0,logs/comparison/wan_longhaul_TcpSwift.flowmonitor
tcp_only,wan_metro,TcpBbr,1000.0,2.2,3,49153/50000,1005.01,1.005,5.2567,0.0024,0.0002,0.6726,logs/comparison/wan_metro_TcpBbr.flowmonitor
tcp_only,wan_metro,TcpCubic,1000.0,2.2,3,49153/50000,1002.32,1.0023,7.1769,0.0356,0.001,1.0,logs/comparison/wan_metro_TcpCubic.flowmonitor
tcp_only,wan_metro,TcpNewReno,1000.0,2.2,3,49153/50000,1001.74,1.0017,7.0196,0.0348,0.0022,1.0,logs/comparison/wan_metro_TcpNewReno.flowmonitor
tcp_only,wan_metro,TcpSwift,1000.0,2.2,3,49153/50000,1000.3,1.0003,4.933,0.0357,0.0,1.0,logs/comparison/wan_metro_TcpSwift.flowmonitor
tcp_only,wifi_ac,TcpBbr,400.0,7.0,3,49153/50000,398.91,0.9973,16.1238,0.0069,0.028,0.8887,logs/comparison/wifi_ac_TcpBbr.flowmonitor
tcp_only,wifi_ac,TcpCubic,400.0,7.0,3,49153/50000,399.69,0.9992,13.0237,0.0845,0.0033,1.0,logs/comparison/wifi_ac_TcpCubic.flowmonitor
tcp_only,wifi_ac,TcpNewReno,400.0,7.0,3,49153/50000,398.91,0.9973,12.1023,0.0575,0.0039,0.9997,logs/comparison/wifi_ac_TcpNewReno.flowmonitor
tcp_only,wifi_ac,TcpSwift,400.0,7.0,3,49153/50000,398.66,0.9966,10.8576,0.0883,0.0,1.0,logs/comparison/wifi_ac_TcpSwift.flowmonitor
tcp_only,wifi_ax,TcpBbr,600.0,5.0,3,49153/50000,600.92,1.0015,12.2846,0.0042,0.0137,0.8931,logs/comparison/wifi_ax_TcpBbr.flowmonitor
tcp_only,wifi_ax,TcpCubic,600.0,5.0,3,49153/50000,600.26,1.0004,10.1707,0.0591,0.0019,1.0,logs/comparison/wifi_ax_TcpCubic.flowmonitor
tcp_only,wifi_ax,TcpNewReno,600.0,5.0,3,49153/50000,599.38,0.999,9.5618,0.0452,0.0028,1.0,logs/comparison/wifi_ax_TcpNewReno.flowmonitor
tcp_only,wifi_ax,TcpSwift,600.0,5.0,3,49153/50000,598.37,0.9973,6.9298,0.0199,0.0,1.0,logs/comparison/wifi_ax_TcpSwift.flowmonitor
tcp_only,wifi_legacy,TcpBbr,10.0,30.0,3,49153/50000,9.85,0.9854,111.7253,0.6729,0.0721,0.977,logs/comparison/wifi_legacy_TcpBbr.flowmonitor
tcp_only,wifi_legacy,TcpCubic,10.0,30.0,3,49153/50000,9.95,0.9953,164.0894,1.8954,2.1145,0.9998,logs/comparison/wifi_legacy_TcpCubic.flowmonitor
tcp_only,wifi_legacy,TcpNewReno,10.0,30.0,3,49153/50000,9.95,0.9946,135.6274,1.4165,0.1309,0.979,logs/comparison/wifi_legacy_TcpNewReno.flowmonitor
tcp_only,wifi_legacy,TcpSwift,10.0,30.0,3,49153/50000,9.95,0.9952,242.227,3.8835,0.0,0.9993,logs/comparison/wifi_legacy_TcpSwift.flowmonitor
tcp_only,wifi_n,TcpBbr,50.0,14.0,3,49153/50000,48.92,0.9783,73.9488,0.1852,0.135,0.3836,logs/comparison/wifi_n_TcpBbr.flowmonitor
tcp_only,wifi_n,TcpCubic,50.0,14.0,3,49153/50000,49.88,0.9976,39.7635,0.3593,0.0525,0.9999,logs/comparison/wifi_n_TcpCubic.flowmonitor
